entry,expiry,spot_in,spot_out,condor_credit,condor_pnl,lottery_pnl
2022-07-08,2022-07-14,16221,15939,156.9,-25.69,-13.65
2022-07-15,2022-07-21,16049,16605,140.45,-59.53,52.11
2022-07-22,2022-07-28,16719,16930,130.91,-56.73,-0.66
2022-07-29,2022-08-04,17158,17382,144.21,-37.95,-3.23
2022-08-05,2022-08-11,17398,17659,144.21,-45.35,-4.64
2022-08-12,2022-08-18,17698,17956,136.11,-56.18,-1.93
2022-08-19,2022-08-25,17758,17522,140.23,-42.11,-2.02
2022-08-26,2022-09-01,17559,17543,142.98,81.56,-2.81
2022-09-02,2022-09-08,17539,17799,152.86,-28.99,-10.46
2022-09-09,2022-09-15,17833,17877,154.73,74.18,-12.07
2022-09-16,2022-09-22,17531,17630,158.03,56.26,-16.36
2022-09-23,2022-09-29,17327,16818,158.71,-41.24,-17.1
2022-09-30,2022-10-06,17094,17332,154.38,-20.9,-12.48
2022-10-07,2022-10-13,17315,17014,160.07,-25.8,-18.22
2022-10-14,2022-10-20,17186,17564,161.69,-33.7,
2022-10-21,2022-10-27,17576,17737,159.96,30.52,-19.19
2022-10-28,2022-11-03,17787,18053,152.58,-30.59,-10.0
2022-11-04,2022-11-10,18117,18028,140.07,58.1,-2.11
2022-11-11,2022-11-17,18350,18344,138.67,81.82,-2.62
2022-11-18,2022-11-24,18308,18484,134.19,-31.72,-0.93
2022-11-25,2022-12-01,18513,18812,139.08,-59.13,-1.81
2022-12-02,2022-12-08,18696,18609,136.21,42.55,-1.93
2022-12-09,2022-12-15,18497,18415,121.11,35.28,-0.28
2022-12-16,2022-12-22,18269,18127,134.32,15.18,-1.04
2022-12-23,2022-12-29,17807,18191,139.38,-60.5,-1.79
2022-12-30,2023-01-05,18105,17992,143.51,35.37,-2.92
2023-01-06,2023-01-12,17859,17858,145.62,80.74,-3.83
2023-01-13,2023-01-19,17957,18108,147.73,3.94,-4.77
2023-01-20,2023-02-01,18028,17616,156.0,-43.97,-15.05
2023-01-27,2023-02-02,17604,17610,143.82,80.77,-3.0
2023-02-03,2023-02-09,17854,17893,146.43,71.88,-4.04
2023-02-10,2023-02-16,17856,18036,140.71,-23.07,-2.11
2023-02-17,2023-02-23,17944,17511,140.26,-59.71,-2.97
